"","Pedigree.Unified","P1.IG","P1.Specie","P1.Type","P2.IG","P2.Specie","P2.Type","P3.IG","P3.Specie","P3.Type"
"f802f74581a1","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"75e5bd90adc9","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"8177faf240ed","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"49c6cca9c25e","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"fb6de3182178","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"0a3886858061","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"ac2f5c9af42d","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"b2d9073ec441","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"d4596dd688ac","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"a0224906b40a","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"891e9de2a390","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"377e848dbddd","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"cb5919728612","Pedigree.Unified.134",NA,"","",NA,"","",NA,"",""
"ec7165fc9fbb","Pedigree.Unified.111",NA,"","",NA,"","",NA,"",""
"49d1bff7f721","Pedigree.Unified.123",NA,"","",NA,"","",NA,"",""
"dcae7d004c60","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"a3b10a1613f8","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"dbbf9c2d9190","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"4c1196c77bc5","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"732dfeeefe4a","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"2149318dfefa","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"7482061d51cd","Pedigree.Unified.47",140431,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"fdec2275e1db","Pedigree.Unified.47",140431,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"93a9ac5adcae","Pedigree.Unified.47",140431,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"cc3750332195","Pedigree.Unified.47",140431,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"250cfe219f21","Pedigree.Unified.47",140431,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"1863e7065343","Pedigree.Unified.46",140431,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"8782a22e565e","Pedigree.Unified.46",140431,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"633870e32797","Pedigree.Unified.46",140431,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"68a716ca8679","Pedigree.Unified.46",140431,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"e24c54eda52f","Pedigree.Unified.46",140431,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"1c632e2bce2d","Pedigree.Unified.46",140431,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"8da149686567","Pedigree.Unified.57",44933,"Triticum monococcum subsp. boeoticum","Wild",NA,"","",NA,"",""
"577685886f81","Pedigree.Unified.57",44933,"Triticum monococcum subsp. boeoticum","Wild",NA,"","",NA,"",""
"d5792f56e448","Pedigree.Unified.57",44933,"Triticum monococcum subsp. boeoticum","Wild",NA,"","",NA,"",""
"46d88884637f","Pedigree.Unified.57",44933,"Triticum monococcum subsp. boeoticum","Wild",NA,"","",NA,"",""
"cd50afbe5790","Pedigree.Unified.57",44933,"Triticum monococcum subsp. boeoticum","Wild",NA,"","",NA,"",""
"f11cbd33dc0c","Pedigree.Unified.57",44933,"Triticum monococcum subsp. boeoticum","Wild",NA,"","",NA,"",""
"b9572bea1790","Pedigree.Unified.57",44933,"Triticum monococcum subsp. boeoticum","Wild",NA,"","",NA,"",""
"bb4c90050512","Pedigree.Unified.57",44933,"Triticum monococcum subsp. boeoticum","Wild",NA,"","",NA,"",""
"45266d3e7ca5","Pedigree.Unified.53",46905,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"a49bd382e3ff","Pedigree.Unified.53",46905,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"f2f8e4cb27be","Pedigree.Unified.53",46905,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"4e07fa9769e5","Pedigree.Unified.53",46905,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"ece359954357","Pedigree.Unified.53",46905,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"80d252f6e6fc","Pedigree.Unified.53",46905,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"704427fe8c5f","Pedigree.Unified.53",46905,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"28b640fc7597","Pedigree.Unified.53",46905,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"84c10359e91f","Pedigree.Unified.53",46905,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"3aae8dcb098c","Pedigree.Unified.53",46905,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"fd5b7566ada8","Pedigree.Unified.53",46905,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"330249f0c23a","Pedigree.Unified.53",46905,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"f819f13da5aa","Pedigree.Unified.53",46905,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"40018e8740d4","Pedigree.Unified.53",46905,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"702512feecc7","Pedigree.Unified.53",46905,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"09b5b9d7a016","Pedigree.Unified.53",46905,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"810e403cb156","Pedigree.Unified.50",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"b60cf1f81cc5","Pedigree.Unified.50",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"539572de9d53","Pedigree.Unified.50",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"7f46a8daed96","Pedigree.Unified.50",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"c2915b23d8b7","Pedigree.Unified.50",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"3b6c5ab5bf68","Pedigree.Unified.50",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"44207b05e437","Pedigree.Unified.50",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"a392d83c536b","Pedigree.Unified.50",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"306b5aee12fd","Pedigree.Unified.50",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"10879ce963de","Pedigree.Unified.50",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"32f65ffd78e5","Pedigree.Unified.50",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"e8c64c1fc527","Pedigree.Unified.50",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"9ba492121261","Pedigree.Unified.49",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"53932f0499b0","Pedigree.Unified.49",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"493824c5bfee","Pedigree.Unified.52",45415,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"5e1dc7bc2d7d","Pedigree.Unified.52",45415,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"75dc4618fa1a","Pedigree.Unified.52",45415,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"9323d5f52370","Pedigree.Unified.52",45415,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"12699304d304","Pedigree.Unified.51",45415,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"a835a5799759","Pedigree.Unified.51",45415,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"144ba631954b","Pedigree.Unified.51",45415,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"a118049dc1ee","Pedigree.Unified.51",45415,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"75bf44c93e0f","Pedigree.Unified.59",45415,"Triticum turgidum subsp. dicoccon","Landrace",108768,"Triticum turgidum subsp. turgidum","Landrace",NA,"",""
"a52c1c3724fb","Pedigree.Unified.87",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"84f6b3cbbcc0","Pedigree.Unified.87",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"b3a6459edeeb","Pedigree.Unified.87",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"4e8bacf72780","Pedigree.Unified.87",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"2178977b4a5a","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"4a21a389e22c","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"b979886bc0a0","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"b58006095d0f","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"1fa5dc1405e2","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"ae3bfe08cb0c","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"6c57914a787a","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"e9b01cce9f46","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"29bb34cadd70","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"293e36d61b45","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"bc4eea161abf","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"43b9d49d2849","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"9fc5118e9a56","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"a7d02ac4efb1","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"f799f747c690","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"219057cbff39","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"0d3b7e340389","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"5483d9377644","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"25025226684d","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"01072efbdd55","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"949a8a204d5f","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"333433f29bbc","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"5a0a0dbe43a4","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"cd8df092cf85","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"3de719e22147","Pedigree.Unified.88",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"09ec687bb4a8","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"ddec10e3a6ad","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"1f09b36c9149","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"a4352d14f91e","Pedigree.Unified.85",110573,"Triticum turgidum subsp. polonicum","Landrace",NA,"","",NA,"",""
"dc237714d97d","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"9720e7627c32","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"61c089a905cb","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"0d94666b1ab3","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"8b5e941bb4bf","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"cff44b6ac388","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"91cebcbcdb25","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"a224ab6c2a63","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"e75300bd76da","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"79f59a021138","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"1b344dc12e46","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"8fe6823c5add","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"59c231124e9b","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"8652fd7f95eb","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"4cdd61ef0054","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"b1d125947d7a","Pedigree.Unified.119",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"dc033e75230a","Pedigree.Unified.118",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"99ca83e00b99","Pedigree.Unified.118",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"18cdf018933d","Pedigree.Unified.118",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"90df3ecc1c0c","Pedigree.Unified.118",48683,"Aegilops tauschii","Wild",NA,"","",NA,"",""
"6217e47bceae","Pedigree.Unified.121",NA,"","",NA,"","",NA,"",""
"b21797a37de3","Pedigree.Unified.130",139431,"Triticum aestivum subsp. aestivum","Landrace",NA,"","",NA,"",""
"b991ea2c959a","Pedigree.Unified.129",139835,"Triticum aestivum subsp. aestivum","Landrace",142802,"Triticum aestivum subsp. aestivum","Unreleased breeder",NA,"",""
"867b28dd52a1","Pedigree.Unified.129",139835,"Triticum aestivum subsp. aestivum","Landrace",142802,"Triticum aestivum subsp. aestivum","Unreleased breeder",NA,"",""
"aed00a47352a","Pedigree.Unified.83",90264,"Triticum turgidum subsp. durum","Landrace",145492,"Triticum aestivum subsp. aestivum","Unreleased breeder",NA,"",""
"36214eca5768","Pedigree.Unified.149",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"c9a7eef26192","Pedigree.Unified.42",97832,"Triticum turgidum subsp. durum","Cultivar",46044,"Triticum turgidum subsp. dicoccoides","Wild",108768,"Triticum turgidum subsp. durum","Landrace"
"dbfbaf09b70e","Pedigree.Unified.76",45415,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"cf8c79546396","Pedigree.Unified.128",139431,"Triticum aestivum subsp. aestivum","Landrace",142676,"Triticum aestivum subsp. aestivum","Unreleased breeder",NA,"",""
"0b01e2e828bc","Pedigree.Unified.80",NA,"","",NA,"","",NA,"",""
"2632aac6cabf","Pedigree.Unified.80",NA,"","",NA,"","",NA,"",""
"e47f3628855b","Pedigree.Unified.80",NA,"","",NA,"","",NA,"",""
"df3240872f6b","Pedigree.Unified.86",131183,"Triticum monococcum subsp. boeoticum","Wild",NA,"","",NA,"",""
"c458e8382ce2","Pedigree.Unified.89",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"b281270fe2a0","Pedigree.Unified.89",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"c5be6d80f121","Pedigree.Unified.89",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"cb474be3cd8e","Pedigree.Unified.89",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"df10f94ee3ae","Pedigree.Unified.3",108768,"Triticum turgidum subsp. durum","Landrace",84859,"Triticum turgidum subsp. durum","Landrace",NA,"",""
"d259a6889a00","Pedigree.Unified.3",108768,"Triticum turgidum subsp. durum","Landrace",84859,"Triticum turgidum subsp. durum","Landrace",NA,"",""
"eb086d491391","Pedigree.Unified.15",91942,"Triticum turgidum subsp. durum","Unreleased breeder",46285,"Triticum turgidum subsp. dicoccoides","Wild",NA,"",""
"456a475d781f","Pedigree.Unified.165",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"a7e8e1b0a6b1","Pedigree.Unified.165",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"735161fb9223","Pedigree.Unified.157",46044,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"fac96e9cf2f0","Pedigree.Unified.157",46044,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"7143cf2a7497","Pedigree.Unified.41",95481,"Triticum turgidum subsp. durum","Unreleased breeder",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"",""
"c1952ed8fc40","Pedigree.Unified.157",46044,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"b47415dc028a","Pedigree.Unified.157",46044,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"856daa60256e","Pedigree.Unified.69",45673,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"766cae4f79ca","Pedigree.Unified.82",NA,"","",NA,"","",NA,"",""
"c6de52861667","Pedigree.Unified.58",44933,"Triticum monococcum subsp. boeoticum","Wild",NA,"","",NA,"",""
"923923bd9699","Pedigree.Unified.58",44933,"Triticum monococcum subsp. boeoticum","Wild",NA,"","",NA,"",""
"b70c08f31bef","Pedigree.Unified.58",44933,"Triticum monococcum subsp. boeoticum","Wild",NA,"","",NA,"",""
"5986bbb289f5","Pedigree.Unified.50",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"966a88f5b294","Pedigree.Unified.49",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"e4fe4b448502","Pedigree.Unified.84",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"5b0501c3754e","Pedigree.Unified.167",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"ddb3c4abaa2e","Pedigree.Unified.167",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"3552a17202d2","Pedigree.Unified.151",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"dd10b956a1c1","Pedigree.Unified.70",45673,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"a138cb7d1808","Pedigree.Unified.77",45673,"Triticum turgidum subsp. dicoccoides","Wild",108768,"Triticum turgidum subsp. durum","Landrace",NA,"",""
"5894ae82cc78","Pedigree.Unified.77",45673,"Triticum turgidum subsp. dicoccoides","Wild",108768,"Triticum turgidum subsp. durum","Landrace",NA,"",""
"243284daa9ce","Pedigree.Unified.77",45673,"Triticum turgidum subsp. dicoccoides","Wild",108768,"Triticum turgidum subsp. durum","Landrace",NA,"",""
"8884c9b414a2","Pedigree.Unified.77",45673,"Triticum turgidum subsp. dicoccoides","Wild",108768,"Triticum turgidum subsp. durum","Landrace",NA,"",""
"4bef0e0758f6","Pedigree.Unified.77",45673,"Triticum turgidum subsp. dicoccoides","Wild",108768,"Triticum turgidum subsp. durum","Landrace",NA,"",""
"0cda4676fcba","Pedigree.Unified.77",45673,"Triticum turgidum subsp. dicoccoides","Wild",108768,"Triticum turgidum subsp. durum","Landrace",NA,"",""
"81874f4a0db5","Pedigree.Unified.78",45673,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"15089fb9ab07","Pedigree.Unified.78",45673,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"52e8547eb977","Pedigree.Unified.78",45673,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"78603cd268c2","Pedigree.Unified.78",45673,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"f4cf961b61e2","Pedigree.Unified.78",45673,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"c046ed866601","Pedigree.Unified.78",45673,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"013f192a236c","Pedigree.Unified.78",45673,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"cabdfb00045a","Pedigree.Unified.78",45673,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"8b3b2e4e9cec","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"289eeff0cf4e","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"2d6ee24637eb","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"e1bb6bc7f258","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"a5886ce1533e","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"3c733bb52a8d","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"90b8f5af6743","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"e1edbc58d929","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"93c5e5612c53","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"34b7c001cc0e","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"b1404c3f1097","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"ea7dbcad2c06","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"f80002c40500","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"8d87d05300a2","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"7458abe238ae","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"beb2e939e7ea","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"e353ab3442f4","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"b9a5980229c6","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"70012b0ae758","Pedigree.Unified.71",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"b90741a97d45","Pedigree.Unified.48",44933,"Triticum monococcum subsp. boeoticum","Wild",NA,"","",NA,"",""
"72e2f05cc722","Pedigree.Unified.48",44933,"Triticum monococcum subsp. boeoticum","Wild",NA,"","",NA,"",""
"f8c3414e9b87","Pedigree.Unified.48",44933,"Triticum monococcum subsp. boeoticum","Wild",NA,"","",NA,"",""
"457c747fb250","Pedigree.Unified.48",44933,"Triticum monococcum subsp. boeoticum","Wild",NA,"","",NA,"",""
"e59bb9742e8b","Pedigree.Unified.48",44933,"Triticum monococcum subsp. boeoticum","Wild",NA,"","",NA,"",""
"50ab4ec887af","Pedigree.Unified.91",NA,"","",NA,"","",NA,"",""
"8bd5c46a1d2a","Pedigree.Unified.62",NA,"","",NA,"","",NA,"",""
"43ca10f6b3ce","Pedigree.Unified.62",NA,"","",NA,"","",NA,"",""
"2dacf919a63b","Pedigree.Unified.142",NA,"","",NA,"","",NA,"",""
"95db06ff7e9d","Pedigree.Unified.142",NA,"","",NA,"","",NA,"",""
"38be0791293a","Pedigree.Unified.140",NA,"","",NA,"","",NA,"",""
"867fc0ea1ba3","Pedigree.Unified.143",NA,"","",NA,"","",NA,"",""
"69ff8bd50c17","Pedigree.Unified.143",NA,"","",NA,"","",NA,"",""
"e74326beb46e","Pedigree.Unified.140",NA,"","",NA,"","",NA,"",""
"7401a085e87d","Pedigree.Unified.142",NA,"","",NA,"","",NA,"",""
"9394f1e9305d","Pedigree.Unified.144",NA,"","",NA,"","",NA,"",""
"d62eb8d1170a","Pedigree.Unified.144",NA,"","",NA,"","",NA,"",""
"69c0abe808da","Pedigree.Unified.144",NA,"","",NA,"","",NA,"",""
"698ce1db2d23","Pedigree.Unified.144",NA,"","",NA,"","",NA,"",""
"9be52103ad23","Pedigree.Unified.144",NA,"","",NA,"","",NA,"",""
"cde11cd7cd2a","Pedigree.Unified.144",NA,"","",NA,"","",NA,"",""
"51d02f7c765f","Pedigree.Unified.88",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"51ffd18dd164","Pedigree.Unified.106",NA,"","",NA,"","",NA,"",""
"5c79c2e8b8a4","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"d8ecc76433f3","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"008a9d3b37ef","Pedigree.Unified.66",NA,"","",NA,"","",NA,"",""
"659de4913082","Pedigree.Unified.111",NA,"","",NA,"","",NA,"",""
"7f02b7d266f4","Pedigree.Unified.122",NA,"","",NA,"","",NA,"",""
